mdb_id,onestop_id,method
mdb-417,f-dpsby4-detroitpeoplemover,url
mdb-421,f-dngy-southwestohioregionaltransitauthority,name_0.80
mdb-429,f-drs-franklinregionaltransitauthority,url
mdb-435,f-drt-baystatecruisecompany~ma~us,url
mdb-437,f-drt-mbta,url
mdb-439,f-drt0-metrowestregionaltransitauthority,url
mdb-441,f-drt3-909983,url
mdb-446,f-drt8-nps~boha~ferries,url
mdb-451,f-dru8-advancetransit,url
mdb-454,f-dry0-maine~greaterportlandmetrobus,url
mdb-456,f-durango~transit~co,url
mdb-457,f-dutchess~county~ny,url
mdb-462,f-gallup~express,url
mdb-464,f-dpsc-detroitdepartmentoftransportation,url
mdb-465,f-dpx-wwwnftacom,url
mdb-466,f-dq-mtamaryland~bus,url
mdb-467,f-dq-mtamaryland~commuterbus,url
mdb-468,f-dq-mtamaryland~marc,url
mdb-469,f-dq-mtamaryland~raillink,url
mdb-470,f-dq-mtamaryland~subwaylink,url
mdb-472,f-dpzk-barrietransit,name_0.84
mdb-473,f-dq9-hrt,url
mdb-476,f-dqc-stmarystransitsystem,url
mdb-477,f-dqc-thebusofprincegeorgescounty,url
mdb-478,f-dqc-virginiarailwayexpress,name_0.89
mdb-479,f-dqc7-charlescountyvango,url
mdb-480,f-dqce-calvertcountypublictransportation,url
mdb-483,f-dqcj-fairfaxconnector,url
mdb-484,f-dqcj1-fairfaxcue,url
mdb-485,f-dqcjj-arlingtontransit,url
mdb-487,f-dqcm2-dcstreetcar,url
mdb-488,f-dqcn-montgomerycountymdrideon,url
mdb-490,f-dqcqz-bwithurgoodmarshallairport,url
mdb-491,f-dqct-annapolistransit,url
mdb-492,f-dqcv-queenannescountyride,url
mdb-493,f-dqcx8-charmcitycirculator,url
mdb-494,f-dqf3-shoretransit,url
mdb-495,f-dqfd7-oceancitytransporation,url
mdb-497,f-dr09-washingtoncountycommuter,url
mdb-498,f-dr0b-transitservicesoffrederickcounty,url
mdb-499,f-dr1-rabbittransit,url
mdb-500,f-dr10-carrolltransitsystem~carrollareatransitsystemcats,url
mdb-501,f-dr1b-harfordtransitlink,url
mdb-504,f-dr41-ceciltransit,url
